SFinal,TipoDes,ExG,GEtario,Sexo,BTRV,BFA,BFPT,BPDT,NEdu,MáxNFPT,OcuEco,TipoBIE,EISUN,PSS,TipoASS,Pareja,Hijos,Gfam,TipoVivienda,SerPúb,RegSalud
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Apartamento,Sí,S - SUBSIDIADO
Fracaso,Individual,ELN,Entre 18 y 25 años,Femenino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,No,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,6,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Femenino,No,No,No,No,Básica Primaria,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Cuarto(s),No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Bachiller,No Aplica,Desocupados,No Aplica,No Aplica,Posee Certif Ser Soc,Embeller Esp Pub,No,0,6,No Aplica,No Aplica,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Bachiller,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Apartamento,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Habitación,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Secundaria,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,1,3,Casa,No,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,5,Apartamento,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Femenino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Secundaria,Complementario,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,0,2,Casa,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Femenino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Casa,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,Complementario,Desocupados,No Aplica,No Aplica,Posee Certif Ser Soc,Recuperación Ambiental,No,0,2,Casa,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Femenino,No,No,No,No,Básica Secundaria,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Casa,No,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Femenino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Femenino,No,No,No,No,Básica Secundaria,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,0,2,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Femenino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Cuarto(s),No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Femenino,No,No,No,No,Básica Primaria,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Apartamento,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Apartamento,Sí,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Femenino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,1,2,Apartamento,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Femenino,No,No,No,No,Básica Primaria,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Femenino,No,No,No,No,Básica Primaria,Operario,Desocupados,No Aplica,No Aplica,Posee Certif Ser Soc,Embeller Esp Pub,No,0,2,Casa,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Secundaria,Complementario,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Casa,Sí,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Cuarto(s),Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Bachiller,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,1,3,Apartamento,Sí,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,Sí,No,No,Sí,Básica Primaria,No Aplica,Desocupados,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Cuarto(s),Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Habitación,Sí,C - CONTRIBUTIVO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,Generación de espacios,Sí,1,3,Casa,No,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Femenino,No,No,No,Sí,Alfabetización,No Aplica,No Aplica,No Aplica,No Aplica,Posee Certif Ser Soc,Generación de espacios,Sí,2,6,Vivienda (casa) indígena,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Femenino,No,No,No,No,Bachiller,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,0,4,Apartamento,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,0,2,Casa,Sí,S - SUBSIDIADO
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Bachiller,Complementario,No Aplica,Plan de Negocio,Cerrado,Posee Certif Ser Soc,Embeller Esp Pub,Sí,0,2,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Casa,Sí,C - CONTRIBUTIVO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,Complementario,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,0,2,Casa,Sí,C - CONTRIBUTIVO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Bachiller,Operario,No Aplica,No Aplica,No Aplica,Posee Certif Ser Soc,Generación de espacios,No,0,1,Casa,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Alfabetización,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Habitación,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Habitación,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,No Aplica,No Aplica,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Bachiller,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,0,2,Cuarto(s),Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Secundaria,Complementario,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,0,2,Casa,No,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Secundaria,Técnico,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Alfabetización,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Bachiller,Operario,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Casa,No,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Femenino,No,No,No,No,Básica Secundaria,Técnico,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Habitación,No,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,3,Apartamento,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Femenino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Casa,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Casa,No,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,0,2,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,0,2,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Alfabetización,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Cuarto(s),No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,No Aplica,No Aplica,No posee
Fracaso,Individual,Otro,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,1,6,Apartamento,Sí,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Casa,Sí,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,Operario,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,4,Casa,Sí,No posee
Fracaso,Individual,EPL,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,4,Casa,Sí,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,No Aplica,No Aplica,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,Sí,Sí,No,Sí,Básica Secundaria,Complementario,No Aplica,No Aplica,No Aplica,Posee Certif Ser Soc,Embeller Esp Pub,No,0,2,No Aplica,No Aplica,No posee
Fracaso,Individual,EPL,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,3,Casa,Sí,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,No Aplica,No Aplica,No Aplica,Posee Certif Ser Soc,Recuperación Ambiental,No,0,3,Casa,Sí,No posee
Fracaso,Individual,Otro,Entre 18 y 25 años,Masculino,Sí,Sí,No,Sí,Alfabetización,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,No Aplica,No Aplica,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,No Aplica,No Aplica,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,No Aplica,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,0,2,No Aplica,No Aplica,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Apartamento,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Bachiller,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,1,3,Casa,Sí,S - SUBSIDIADO
Fracaso,Individual,EPL,Entre 18 y 25 años,Masculino,No,No,No,No,Bachiller,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Finca,No,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Bachiller,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,C - CONTRIBUTIVO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,Embeller Esp Pub,No,0,1,Casa,No,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Secundaria,Complementario,Sector Informal,No Aplica,No Aplica,Posee Certif Ser Soc,Embeller Esp Pub,No,0,1,Casa,No,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Bachiller,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Apartamento,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Bachiller,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,3,Casa,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Finca,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Secundaria,Técnico,Sector Informal,No Aplica,No Aplica,Vinculado a Ser Soc,Embeller Esp Pub,No,0,1,Apartamento,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,Complementario,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Femenino,No,No,No,No,Básica Secundaria,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Femenino,No,No,No,No,Bachiller,Técnico,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,0,3,Casa,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Secundaria,Técnico,Sector Informal,No Aplica,No Aplica,Vinculado a Ser Soc,Embeller Esp Pub,Sí,0,3,Casa,No,C - CONTRIBUTIVO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,C - CONTRIBUTIVO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Cuarto(s),Sí,C - CONTRIBUTIVO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Alfabetización,Complementario,Sector Informal,No Aplica,No Aplica,Posee Certif Ser Soc,Recuperación Ambiental,No,0,1,Apartamento,No,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,No,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,3,Casa,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Habitación,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,0,2,Habitación,Sí,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Finca,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Alfabetización,Complementario,Sector Informal,No Aplica,No Aplica,Posee Certif Ser Soc,Recuperación Ambiental,No,0,5,Otro tipo de vivienda ,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Apartamento,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,2,Rancho,No,S - SUBSIDIADO
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Secundaria,Técnico,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,No Aplica,No Aplica,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Apartamento,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,Sí,0,2,Apartamento,Sí,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Secundaria,Técnico,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,No posee
Fracaso,Individual,ELN,Entre 18 y 25 años,Masculino,No,No,No,No,Sin Nivel,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Vivienda (casa) indígena,No,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Femenino,No,No,No,No,Sin Nivel,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,1,Casa,Sí,No posee
Fracaso,Individual,FARC,Entre 18 y 25 años,Masculino,No,No,No,No,Básica Primaria,No Aplica,Sector Informal,No Aplica,No Aplica,No Vinculado Ser Social,No Aplica,No,0,4,Casa,Sí,No posee
